Refid,partial,total
1800,0,2
2198,0,2
2669,0,4
3745,0,8
1060,0,4
1095,10,0
11538,0,8
1183,0,4
1222,0,4
1235,0,2
1315,0,4
1372,0,9
1414,0,4
1505,0,4
1649,0,6
1843_1437,2,0
2046,0,4
2071_362,4,4
2072,0,2
2108_1451,0,4
2221,0,4
2240,0,4
2290,0,2
2297,0,2
2313,0,3
2358,0,4
2365,1,1
2376,1,1
2428,1,1
2503,1,1
2570,0,2
2607,1,1
2608,0,2
2870,1,1
2889,0,6
2935,0,1
2936,0,6
2943,0,6
2955,0,4
2981,0,6
3149,0,4
3163,2,2
3172,0,2
3253,0,4
3271_2821_2770,1,1
3501,0,6
3508,0,4
354,0,12
3592,0,6
361,0,1
3651,0,4
3659,0,4
3679,0,2
3741,1,1
3747,0,2
3961,0,2
535,0,8
6210,0,1
6261,0,2
6313,1,1
6317,0,4
6327,0,4
6809,0,1
6895,0,4
6899,0,2
7109,0,1
7142,0,4
7211,0,2
7401,0,3
914,4,4
953,3,3
